



mierdaseca  ->  shit  ->  {'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5574}
charran  ->  charran  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
echacantos  ->  echacantos  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
fanfosquero  ->  fanfosquero  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
foligoso  ->  foligoso  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
pelatigres  ->  pelatigres  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
peterete  ->  peteretis  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
plomo  ->  lead  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
atarre  ->  doorway  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
ejarramantas  ->  ejarramantas  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
zullenco  ->  zalco  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
bastardo  ->  bastardo  ->  {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
